;Tabela 1: Liczba hospitalizacji i liczba punktów za hospitalizacje wg rozpoznań i sekcji produktów
;Rozdział ICD10;Województwo;Poziom szpitala w ramach ryczałtu PSZ;Sekcja JGP;Maj 2021;;Kwiecień 2021;;Maj 2020;;Maj 2021 / Kwiecień 2021;;Maj 2021 / Maj 2020
;A00-B99 Wybrane choroby zakaźne i pasożytnicze;Dolnośląskie;SZPITAL III STOPNIA;L Choroby układu moczowo-płciowego;< 5;4800;;;;; ;; ;
;A00-B99 Wybrane choroby zakaźne i pasożytnicze;Dolnośląskie;SZPITAL III STOPNIA;P Choroby dzieci - leczenie zachowawcze;153;498136.8726;127;394515.2844;28;79867;0.204724;0.262655;4.464286;5.23708
;A00-B99 Wybrane choroby zakaźne i pasożytnicze;Dolnośląskie;SZPITAL III STOPNIA;S Choroby układu krwiotwórczego, zatrucia i choroby zakaźne;29;259734.2748;26;250323.65;25;186338.43;0.115385;0.037594;0.16;0.393885
;A00-B99 Wybrane choroby zakaźne i pasożytnicze;Dolnośląskie;SZPITAL OGÓLNOPOLSKI;A Choroby układu nerwowego;< 5;71084.88;;;< 5;4546; ;; ;14.636797
;A00-B99 Wybrane choroby zakaźne i pasożytnicze;Dolnośląskie;SZPITAL OGÓLNOPOLSKI;F Choroby przewodu pokarmowego;20;211887.1296;19;194449.69;10;66061;0.052632;0.089676;1;2.207447
;A00-B99 Wybrane choroby zakaźne i pasożytnicze;Dolnośląskie;SZPITAL OGÓLNOPOLSKI;J Choroby piersi, skóry i oparzenia;< 5;7029;;;;; ;; ;
;A00-B99 Wybrane choroby zakaźne i pasożytnicze;Dolnośląskie;SZPITAL OGÓLNOPOLSKI;L Choroby układu moczowo-płciowego;;;;;< 5;2758;;; ;
;A00-B99 Wybrane choroby zakaźne i pasożytnicze;Dolnośląskie;SZPITAL OGÓLNOPOLSKI;P Choroby dzieci - leczenie zachowawcze;21;56665.008;17;51774.12;< 5;111829.05;0.235294;0.094466; ;-0.493289
;A00-B99 Wybrane choroby zakaźne i pasożytnicze;Dolnośląskie;SZPITAL OGÓLNOPOLSKI;PZ Choroby dzieci - leczenie zabiegowe;< 5;7603.632;;;;; ;; ;
;A00-B99 Wybrane choroby zakaźne i pasożytnicze;Dolnośląskie;SZPITAL OGÓLNOPOLSKI;Q Choroby naczyń;< 5;19011.79;;;;; ;; ;
;A00-B99 Wybrane choroby zakaźne i pasożytnicze;Dolnośląskie;SZPITAL OGÓLNOPOLSKI;S Choroby układu krwiotwórczego, zatrucia i choroby zakaźne;21;113974.36;26;167071.2156;32;621661.27;-0.192308;-0.31781;-0.34375;-0.816662
;A00-B99 Wybrane choroby zakaźne i pasożytnicze;Dolnośląskie;SZPITAL PULMONOLOGICZNY;D Choroby układu oddechowego;5;6341;< 5;4724;< 5;19522.62; ;0.342295; ;-0.675197
;A00-B99 Wybrane choroby zakaźne i pasożytnicze;Dolnośląskie;SZPITAL PULMONOLOGICZNY;F Choroby przewodu pokarmowego;< 5;6127;< 5;7246;5;33565; ;-0.15443; ;-0.817459
;A00-B99 Wybrane choroby zakaźne i pasożytnicze;Dolnośląskie;SZPITAL PULMONOLOGICZNY;S Choroby układu krwiotwórczego, zatrucia i choroby zakaźne;< 5;32121.88;;;5;53409.56; ;; ;-0.398574
;A00-B99 Wybrane choroby zakaźne i pasożytnicze;Kujawsko-pomorskie;POZA PSZ;L Choroby układu moczowo-płciowego;;;< 5;702;;; ;;;
;A00-B99 Wybrane choroby zakaźne i pasożytnicze;Kujawsko-pomorskie;SZPITAL I STOPNIA;A Choroby układu nerwowego;< 5;4636.92;;;< 5;4682.38; ;; ;-0.009709
;A00-B99 Wybrane choroby zakaźne i pasożytnicze;Kujawsko-pomorskie;SZPITAL I STOPNIA;D Choroby układu oddechowego;;;< 5;1875.78;;; ;;;
;A00-B99 Wybrane choroby zakaźne i pasożytnicze;Kujawsko-pomorskie;SZPITAL I STOPNIA;F Choroby przewodu pokarmowego;17;105402.48;11;61463.28;7;53436.4;0.545455;0.714885;1.428571;0.972485
;A00-B99 Wybrane choroby zakaźne i pasożytnicze;Kujawsko-pomorskie;SZPITAL I STOPNIA;P Choroby dzieci - leczenie zachowawcze;65;201726.4014;53;149982.6456;33;98374.08;0.226415;0.344998;0.969697;1.050605
;A00-B99 Wybrane choroby zakaźne i pasożytnicze;Kujawsko-pomorskie;SZPITAL I STOPNIA;S Choroby układu krwiotwórczego, zatrucia i choroby zakaźne;20;74631.952;25;148354.6188;20;124723.318;-0.2;-0.496935;0;-0.40162
;A00-B99 Wybrane choroby zakaźne i pasożytnicze;Kujawsko-pomorskie;SZPITAL II STOPNIA;A Choroby układu nerwowego;;;< 5;2295.73;;; ;;;
;A00-B99 Wybrane choroby zakaźne i pasożytnicze;Kujawsko-pomorskie;SZPITAL II STOPNIA;D Choroby układu oddechowego;;;< 5;4294.52;;; ;;;
;A00-B99 Wybrane choroby zakaźne i pasożytnicze;Kujawsko-pomorskie;SZPITAL II STOPNIA;F Choroby przewodu pokarmowego;13;79110.27;20;116283.49;< 5;26877;-0.35;-0.319678; ;1.943419
;A00-B99 Wybrane choroby zakaźne i pasożytnicze;Kujawsko-pomorskie;SZPITAL II STOPNIA;G Choroby wątroby, dróg żółciowych, trzustki i śledziony;< 5;1730.13;;;;; ;; ;
;A00-B99 Wybrane choroby zakaźne i pasożytnicze;Kujawsko-pomorskie;SZPITAL II STOPNIA;L Choroby układu moczowo-płciowego;;;;;< 5;10959.5532;;; ;
;A00-B99 Wybrane choroby zakaźne i pasożytnicze;Kujawsko-pomorskie;SZPITAL II STOPNIA;P Choroby dzieci - leczenie zachowawcze;22;68250.1896;13;47978.9244;7;19166.46;0.692308;0.422504;2.142857;2.560918
;A00-B99 Wybrane choroby zakaźne i pasożytnicze;Kujawsko-pomorskie;SZPITAL II STOPNIA;S Choroby układu krwiotwórczego, zatrucia i choroby zakaźne;23;211232.3865;24;167474.172;22;236737.512;-0.041667;0.261283;0.045455;-0.107736
;A00-B99 Wybrane choroby zakaźne i pasożytnicze;Kujawsko-pomorskie;SZPITAL III STOPNIA;A Choroby układu nerwowego;< 5;13675;< 5;4546;;; ;2.008139; ;
;A00-B99 Wybrane choroby zakaźne i pasożytnicze;Kujawsko-pomorskie;SZPITAL III STOPNIA;D Choroby układu oddechowego;< 5;760;;;< 5;1839; ;; ;-0.586732
;A00-B99 Wybrane choroby zakaźne i pasożytnicze;Kujawsko-pomorskie;SZPITAL III STOPNIA;F Choroby przewodu pokarmowego;26;150651;21;113189;< 5;10851;0.238095;0.330969; ;12.883605
;A00-B99 Wybrane choroby zakaźne i pasożytnicze;Kujawsko-pomorskie;SZPITAL III STOPNIA;G Choroby wątroby, dróg żółciowych, trzustki i śledziony;28;61356.2;8;13443.2;;;2.5;3.564107;;
;A00-B99 Wybrane choroby zakaźne i pasożytnicze;Kujawsko-pomorskie;SZPITAL III STOPNIA;H Choroby układu mięśniowo-szkieletowego;< 5;3896;;;;; ;; ;
;A00-B99 Wybrane choroby zakaźne i pasożytnicze;Kujawsko-pomorskie;SZPITAL III STOPNIA;J Choroby piersi, skóry i oparzenia;;;< 5;2362;;; ;;;
;A00-B99 Wybrane choroby zakaźne i pasożytnicze;Kujawsko-pomorskie;SZPITAL III STOPNIA;P Choroby dzieci - leczenie zachowawcze;160;535062.40848;96;344422.9782;45;121977;0.666667;0.553504;2.555556;3.386584
;A00-B99 Wybrane choroby zakaźne i pasożytnicze;Kujawsko-pomorskie;SZPITAL III STOPNIA;S Choroby układu krwiotwórczego, zatrucia i choroby zakaźne;49;253186.52;46;234731.56;19;163398;0.065217;0.078622;1.578947;0.549508
;A00-B99 Wybrane choroby zakaźne i pasożytnicze;Kujawsko-pomorskie;SZPITAL OGÓLNOPOLSKI;A Choroby układu nerwowego;< 5;9308;< 5;4731;;; ;0.967449; ;
;A00-B99 Wybrane choroby zakaźne i pasożytnicze;Kujawsko-pomorskie;SZPITAL OGÓLNOPOLSKI;D Choroby układu oddechowego;< 5;1839;;;< 5;5872; ;; ;-0.686819
;A00-B99 Wybrane choroby zakaźne i pasożytnicze;Kujawsko-pomorskie;SZPITAL OGÓLNOPOLSKI;E Choroby układu krążenia;< 5;22503;;;;; ;; ;
;A00-B99 Wybrane choroby zakaźne i pasożytnicze;Kujawsko-pomorskie;SZPITAL OGÓLNOPOLSKI;F Choroby przewodu pokarmowego;14;150602.35;6;35697;7;36961;1.333333;3.218908;1;3.074629
;A00-B99 Wybrane choroby zakaźne i pasożytnicze;Kujawsko-pomorskie;SZPITAL OGÓLNOPOLSKI;J Choroby piersi, skóry i oparzenia;< 5;2362;;;< 5;2283; ;; ;0.034604
;A00-B99 Wybrane choroby zakaźne i pasożytnicze;Kujawsko-pomorskie;SZPITAL OGÓLNOPOLSKI;L Choroby układu moczowo-płciowego;;;< 5;2952;;; ;;;
;A00-B99 Wybrane choroby zakaźne i pasożytnicze;Kujawsko-pomorskie;SZPITAL OGÓLNOPOLSKI;P Choroby dzieci - leczenie zachowawcze;8;26271;8;24267.6;8;25569.6;0;0.082555;0;0.027431
;A00-B99 Wybrane choroby zakaźne i pasożytnicze;Kujawsko-pomorskie;SZPITAL OGÓLNOPOLSKI;PZ Choroby dzieci - leczenie zabiegowe;;;< 5;173108.9596;;; ;;;
;A00-B99 Wybrane choroby zakaźne i pasożytnicze;Kujawsko-pomorskie;SZPITAL OGÓLNOPOLSKI;S Choroby układu krwiotwórczego, zatrucia i choroby zakaźne;84;1143886.7264;61;877208.7876;49;529907.83;0.377049;0.304007;0.714286;1.158652
;A00-B99 Wybrane choroby zakaźne i pasożytnicze;Kujawsko-pomorskie;SZPITAL ONKOLOGICZNY;S Choroby układu krwiotwórczego, zatrucia i choroby zakaźne;;;< 5;2362;;; ;;;
;A00-B99 Wybrane choroby zakaźne i pasożytnicze;Kujawsko-pomorskie;SZPITAL PEDIATRYCZNY;A Choroby układu nerwowego;< 5;19962.72;5;25779.6;;; ;-0.225639; ;
;A00-B99 Wybrane choroby zakaźne i pasożytnicze;Kujawsko-pomorskie;SZPITAL PEDIATRYCZNY;D Choroby układu oddechowego;;;< 5;4673.16;;; ;;;
;A00-B99 Wybrane choroby zakaźne i pasożytnicze;Kujawsko-pomorskie;SZPITAL PEDIATRYCZNY;P Choroby dzieci - leczenie zachowawcze;45;153326.1468;38;115734.2;20;54721;0.184211;0.324813;1.25;1.801962
;A00-B99 Wybrane choroby zakaźne i pasożytnicze;Kujawsko-pomorskie;SZPITAL PEDIATRYCZNY;S Choroby układu krwiotwórczego, zatrucia i choroby zakaźne;< 5;7652.88;;;;; ;; ;
;A00-B99 Wybrane choroby zakaźne i pasożytnicze;Kujawsko-pomorskie;SZPITAL PULMONOLOGICZNY;D Choroby układu oddechowego;6;14106;5;9195;< 5;1839;0.2;0.534095; ;6.670473
;A00-B99 Wybrane choroby zakaźne i pasożytnicze;Kujawsko-pomorskie;SZPITAL PULMONOLOGICZNY;S Choroby układu krwiotwórczego, zatrucia i choroby zakaźne;< 5;24798;;;< 5;16904; ;; ;0.46699
;A00-B99 Wybrane choroby zakaźne i pasożytnicze;Lubelskie;POZA PSZ;A Choroby układu nerwowego;< 5;4591.46;;;;; ;; ;
;A00-B99 Wybrane choroby zakaźne i pasożytnicze;Lubelskie;POZA PSZ;D Choroby układu oddechowego;;;;;< 5;1875.78;;; ;
;A00-B99 Wybrane choroby zakaźne i pasożytnicze;Lubelskie;POZA PSZ;F Choroby przewodu pokarmowego;< 5;23354.13;< 5;23948.51;;; ;-0.024819; ;
;A00-B99 Wybrane choroby zakaźne i pasożytnicze;Lubelskie;POZA PSZ;G Choroby wątroby, dróg żółciowych, trzustki i śledziony;;;< 5;3974.13;;; ;;;
;A00-B99 Wybrane choroby zakaźne i pasożytnicze;Lubelskie;POZA PSZ;P Choroby dzieci - leczenie zachowawcze;64;197878.464;39;120715.029;19;52974.72;0.641026;0.63922;2.368421;2.735338
;A00-B99 Wybrane choroby zakaźne i pasożytnicze;Lubelskie;POZA PSZ;S Choroby układu krwiotwórczego, zatrucia i choroby zakaźne;9;42869.462;6;62187.5517;8;23764.684;0.5;-0.310642;0.125;0.803915
;A00-B99 Wybrane choroby zakaźne i pasożytnicze;Lubelskie;SZPITAL I STOPNIA;D Choroby układu oddechowego;;;< 5;13521.36;;; ;;;
;A00-B99 Wybrane choroby zakaźne i pasożytnicze;Lubelskie;SZPITAL I STOPNIA;F Choroby przewodu pokarmowego;41;261607.66;19;119755.52;8;46197.09;1.157895;1.184514;4.125;4.66286
;A00-B99 Wybrane choroby zakaźne i pasożytnicze;Lubelskie;SZPITAL I STOPNIA;J Choroby piersi, skóry i oparzenia;;;;;< 5;2432.86;;; ;
;A00-B99 Wybrane choroby zakaźne i pasożytnicze;Lubelskie;SZPITAL I STOPNIA;P Choroby dzieci - leczenie zachowawcze;137;432980.9426;83;250724.9012;35;102835.91;0.650602;0.726916;2.914286;3.210406
;A00-B99 Wybrane choroby zakaźne i pasożytnicze;Lubelskie;SZPITAL I STOPNIA;S Choroby układu krwiotwórczego, zatrucia i choroby zakaźne;13;60400.56;13;71501.72;15;86029.05;0;-0.155257;-0.133333;-0.297905
;A00-B99 Wybrane choroby zakaźne i pasożytnicze;Lubelskie;SZPITAL II STOPNIA;F Choroby przewodu pokarmowego;13;83311.87;7;37448.78;5;31125.16;0.857143;1.224688;1.6;1.676673
;A00-B99 Wybrane choroby zakaźne i pasożytnicze;Lubelskie;SZPITAL II STOPNIA;L Choroby układu moczowo-płciowego;;;;;< 5;1505.52;;; ;
;A00-B99 Wybrane choroby zakaźne i pasożytnicze;Lubelskie;SZPITAL II STOPNIA;P Choroby dzieci - leczenie zachowawcze;27;78087.24;12;33410.88;14;37761.36;1.25;1.33718;0.928571;1.067914
;A00-B99 Wybrane choroby zakaźne i pasożytnicze;Lubelskie;SZPITAL II STOPNIA;S Choroby układu krwiotwórczego, zatrucia i choroby zakaźne;10;113659.7695;6;43194.37;13;78293.16;0.666667;1.631356;-0.230769;0.45172
;A00-B99 Wybrane choroby zakaźne i pasożytnicze;Lubelskie;SZPITAL III STOPNIA;A Choroby układu nerwowego;< 5;41979;< 5;4546;< 5;9092; ;8.234272; ;3.617136
;A00-B99 Wybrane choroby zakaźne i pasożytnicze;Lubelskie;SZPITAL III STOPNIA;D Choroby układu oddechowego;< 5;760;< 5;15196.387;;; ;-0.949988; ;
;A00-B99 Wybrane choroby zakaźne i pasożytnicze;Lubelskie;SZPITAL III STOPNIA;F Choroby przewodu pokarmowego;19;106393;12;76495;6;52802;0.583333;0.390849;2.166667;1.014943
;A00-B99 Wybrane choroby zakaźne i pasożytnicze;Lubelskie;SZPITAL III STOPNIA;G Choroby wątroby, dróg żółciowych, trzustki i śledziony;;;;;< 5;3425;;; ;
;A00-B99 Wybrane choroby zakaźne i pasożytnicze;Lubelskie;SZPITAL III STOPNIA;L Choroby układu moczowo-płciowego;< 5;1476;;;;; ;; ;
;A00-B99 Wybrane choroby zakaźne i pasożytnicze;Lubelskie;SZPITAL III STOPNIA;P Choroby dzieci - leczenie zachowawcze;62;181715.562;43;137236.736;23;68474;0.44186;0.324103;1.695652;1.653789
;A00-B99 Wybrane choroby zakaźne i pasożytnicze;Lubelskie;SZPITAL III STOPNIA;S Choroby układu krwiotwórczego, zatrucia i choroby zakaźne;41;346847.73;26;277406.5372;25;270102.35;0.576923;0.250323;0.64;0.284134
;A00-B99 Wybrane choroby zakaźne i pasożytnicze;Lubelskie;SZPITAL OGÓLNOPOLSKI;D Choroby układu oddechowego;< 5;40935.24;< 5;4252;< 5;4252; ;8.627291; ;8.627291
;A00-B99 Wybrane choroby zakaźne i pasożytnicze;Lubelskie;SZPITAL OGÓLNOPOLSKI;F Choroby przewodu pokarmowego;10;58749;13;76421;< 5;11223;-0.230769;-0.231245; ;4.234697
;A00-B99 Wybrane choroby zakaźne i pasożytnicze;Lubelskie;SZPITAL OGÓLNOPOLSKI;G Choroby wątroby, dróg żółciowych, trzustki i śledziony;;;;;< 5;5787;;; ;
;A00-B99 Wybrane choroby zakaźne i pasożytnicze;Lubelskie;SZPITAL OGÓLNOPOLSKI;J Choroby piersi, skóry i oparzenia;;;< 5;4261.72;;; ;;;
;A00-B99 Wybrane choroby zakaźne i pasożytnicze;Lubelskie;SZPITAL OGÓLNOPOLSKI;P Choroby dzieci - leczenie zachowawcze;20;59902.416;22;74915.28;14;49434;-0.090909;-0.200398;0.428571;0.211766
;A00-B99 Wybrane choroby zakaźne i pasożytnicze;Lubelskie;SZPITAL OGÓLNOPOLSKI;PZ Choroby dzieci - leczenie zabiegowe;< 5;1880.28;;;;; ;; ;
;A00-B99 Wybrane choroby zakaźne i pasożytnicze;Lubelskie;SZPITAL OGÓLNOPOLSKI;S Choroby układu krwiotwórczego, zatrucia i choroby zakaźne;32;192913.61;20;54554.36;30;127981;0.6;2.536172;0.066667;0.507361
;A00-B99 Wybrane choroby zakaźne i pasożytnicze;Lubelskie;SZPITAL ONKOLOGICZNY;S Choroby układu krwiotwórczego, zatrucia i choroby zakaźne;< 5;2362;;;;; ;; ;
;A00-B99 Wybrane choroby zakaźne i pasożytnicze;Lubuskie;SZPITAL I STOPNIA;A Choroby układu nerwowego;< 5;4546;;;;; ;; ;
;A00-B99 Wybrane choroby zakaźne i pasożytnicze;Lubuskie;SZPITAL I STOPNIA;D Choroby układu oddechowego;;;< 5;6505.56;;; ;;;
;A00-B99 Wybrane choroby zakaźne i pasożytnicze;Lubuskie;SZPITAL I STOPNIA;F Choroby przewodu pokarmowego;< 5;18748.62;< 5;8687.34;< 5;6310.81; ;1.158154; ;1.970874
;A00-B99 Wybrane choroby zakaźne i pasożytnicze;Lubuskie;SZPITAL I STOPNIA;J Choroby piersi, skóry i oparzenia;< 5;1205.64;;;< 5;2432.86; ;; ;-0.504435
;A00-B99 Wybrane choroby zakaźne i pasożytnicze;Lubuskie;SZPITAL I STOPNIA;P Choroby dzieci - leczenie zachowawcze;36;133275.5046;42;132413.6484;9;24778.71;-0.142857;0.006509;3;4.37863
;A00-B99 Wybrane choroby zakaźne i pasożytnicze;Lubuskie;SZPITAL I STOPNIA;S Choroby układu krwiotwórczego, zatrucia i choroby zakaźne;< 5;10840.56;7;27540.9988;11;103289.8214; ;-0.606385; ;-0.895047
;A00-B99 Wybrane choroby zakaźne i pasożytnicze;Lubuskie;SZPITAL II STOPNIA;F Choroby przewodu pokarmowego;< 5;6188.27;< 5;6390.27;;; ;-0.031611; ;
;A00-B99 Wybrane choroby zakaźne i pasożytnicze;Lubuskie;SZPITAL II STOPNIA;P Choroby dzieci - leczenie zachowawcze;26;79061.6214;9;31026.81024;6;16184.34;1.888889;1.548171;3.333333;3.885069
;A00-B99 Wybrane choroby zakaźne i pasożytnicze;Lubuskie;SZPITAL II STOPNIA;S Choroby układu krwiotwórczego, zatrucia i choroby zakaźne;< 5;8724.38;;;< 5;18068.28; ;; ;-0.517144
;A00-B99 Wybrane choroby zakaźne i pasożytnicze;Lubuskie;SZPITAL III STOPNIA;A Choroby układu nerwowego;< 5;13638;< 5;4546;;; ;2; ;
;A00-B99 Wybrane choroby zakaźne i pasożytnicze;Lubuskie;SZPITAL III STOPNIA;D Choroby układu oddechowego;;;;;< 5;4612;;; ;
;A00-B99 Wybrane choroby zakaźne i pasożytnicze;Lubuskie;SZPITAL III STOPNIA;F Choroby przewodu pokarmowego;20;108922;< 5;21702;< 5;6127; ;4.018984; ;16.777379
;A00-B99 Wybrane choroby zakaźne i pasożytnicze;Lubuskie;SZPITAL III STOPNIA;G Choroby wątroby, dróg żółciowych, trzustki i śledziony;< 5;3720;;;< 5;543; ;; ;5.850829
;A00-B99 Wybrane choroby zakaźne i pasożytnicze;Lubuskie;SZPITAL III STOPNIA;L Choroby układu moczowo-płciowego;;;;;< 5;1830;;; ;
;A00-B99 Wybrane choroby zakaźne i pasożytnicze;Lubuskie;SZPITAL III STOPNIA;P Choroby dzieci - leczenie zachowawcze;32;92338.5096;39;122556.0024;13;44725;-0.179487;-0.246561;1.461538;1.064584
;A00-B99 Wybrane choroby zakaźne i pasożytnicze;Lubuskie;SZPITAL III STOPNIA;S Choroby układu krwiotwórczego, zatrucia i choroby zakaźne;29;227071.07;24;234642.2;27;203608.85;0.208333;-0.032267;0.074074;0.115232
;A00-B99 Wybrane choroby zakaźne i pasożytnicze;Lubuskie;SZPITAL OGÓLNOPOLSKI;A Choroby układu nerwowego;;;< 5;4546;;; ;;;
;A00-B99 Wybrane choroby zakaźne i pasożytnicze;Lubuskie;SZPITAL OGÓLNOPOLSKI;B Choroby narządu wzroku;< 5;2339;;;;; ;; ;
;A00-B99 Wybrane choroby zakaźne i pasożytnicze;Lubuskie;SZPITAL OGÓLNOPOLSKI;D Choroby układu oddechowego;;;;;< 5;63035.24;;; ;
;A00-B99 Wybrane choroby zakaźne i pasożytnicze;Lubuskie;SZPITAL OGÓLNOPOLSKI;F Choroby przewodu pokarmowego;< 5;6557.8;;;;; ;; ;
;A00-B99 Wybrane choroby zakaźne i pasożytnicze;Lubuskie;SZPITAL OGÓLNOPOLSKI;G Choroby wątroby, dróg żółciowych, trzustki i śledziony;< 5;3425;;;;; ;; ;
;A00-B99 Wybrane choroby zakaźne i pasożytnicze;Lubuskie;SZPITAL OGÓLNOPOLSKI;J Choroby piersi, skóry i oparzenia;;;;;< 5;2362;;; ;
;A00-B99 Wybrane choroby zakaźne i pasożytnicze;Lubuskie;SZPITAL OGÓLNOPOLSKI;P Choroby dzieci - leczenie zachowawcze;27;80962.7076;18;60027.588;10;26808;0.5;0.348758;1.7;2.020095
;A00-B99 Wybrane choroby zakaźne i pasożytnicze;Lubuskie;SZPITAL OGÓLNOPOLSKI;S Choroby układu krwiotwórczego, zatrucia i choroby zakaźne;18;143028.696;21;144965.4288;18;113883.67;-0.142857;-0.01336;0;0.255919
;A00-B99 Wybrane choroby zakaźne i pasożytnicze;Lubuskie;SZPITAL PULMONOLOGICZNY;D Choroby układu oddechowego;;;< 5;6091;< 5;1839; ;; ;
;A00-B99 Wybrane choroby zakaźne i pasożytnicze;Łódzkie;POZA PSZ;F Choroby przewodu pokarmowego;< 5;6127;;;< 5;6127; ;; ;0
;A00-B99 Wybrane choroby zakaźne i pasożytnicze;Łódzkie;POZA PSZ;P Choroby dzieci - leczenie zachowawcze;16;40668;5;13329;< 5;5214;2.2;2.051092; ;6.79977
;A00-B99 Wybrane choroby zakaźne i pasożytnicze;Łódzkie;POZA PSZ;S Choroby układu krwiotwórczego, zatrucia i choroby zakaźne;< 5;1182;< 5;3544;< 5;8266; ;-0.666479; ;-0.857005
;A00-B99 Wybrane choroby zakaźne i pasożytnicze;Łódzkie;SZPITAL I STOPNIA;D Choroby układu oddechowego;;;;;< 5;4252;;; ;
;A00-B99 Wybrane choroby zakaźne i pasożytnicze;Łódzkie;SZPITAL I STOPNIA;F Choroby przewodu pokarmowego;42;258174.34;26;152511.7;17;105175.17;0.615385;0.692817;1.470588;1.454708
;A00-B99 Wybrane choroby zakaźne i pasożytnicze;Łódzkie;SZPITAL I STOPNIA;G Choroby wątroby, dróg żółciowych, trzustki i śledziony;;;;;< 5;5960.61;;; ;
;A00-B99 Wybrane choroby zakaźne i pasożytnicze;Łódzkie;SZPITAL I STOPNIA;P Choroby dzieci - leczenie zachowawcze;73;224132.805;57;170475.0138;36;113327.29;0.280702;0.314755;1.027778;0.977748
